n_number,serial_number,mfr_mdl_code,mfr,model,model_family,is_production_model,year_mfr,type_registrant,state,region,country,last_action_date,cert_issue_date,airworth_date,type_aircraft,type_engine,status_code,fract_owner
434M,11322,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2026,7,WY,S,US,20260713,20260713,20260414,4,1,V,
434MM,2643,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,MN,C,US,20250512,20200924,20070814,4,1,V,
434SR,2557,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,4,NC,1,US,20230421,20120222,20070614,4,1,V,
434TB,0290,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,VA,1,US,20230718,20190226,20020802,4,1,V,
434TX,11239,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,7,TX,2,US,20260514,20260514,20260304,4,1,V,
435CD,0836,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,3,WY,S,US,20260511,20260219,20050706,4,1,V,
435CP,3264,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,FL,7,US,20230707,20081014,20080916,4,1,V,
435EF,11045,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,MT,S,US,20260308,20260308,20251114,4,1,V,
435JA,1419,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,3,UT,S,US,20230909,20161031,20160817,4,1,V,
435JB,11558,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,8,MN,C,US,20260702,,,4,1,M,
435SR,2022,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,OH,C,US,20240724,20240724,20100412,4,1,V,
435TX,2217,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,1,TX,2,US,20260621,,20201209,4,1,R,
435WP,10613,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,DE,1,US,20250529,20250529,20250413,4,1,V,
436CD,1522,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,3,NM,2,US,20230922,20221209,20050719,4,1,V,
436CP,3266,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,TX,2,US,20260730,20260730,20080917,4,1,V,
437C,0375,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,4,DE,1,US,20260731,20260731,20021119,4,1,V,
437KM,8693,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,SD,C,US,20250519,20250519,20220630,4,1,V,
438CD,1404,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,1,OH,C,US,20230608,20230608,20050419,4,1,V,
438PC,3625,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2010,7,OR,S,US,20230603,20180827,20100311,4,1,V,
438SR,2567,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,OK,2,US,20251112,20251112,20070618,4,1,V,
439NK,0919,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,MO,3,US,20230428,20150325,20040504,4,1,V,
43CK,8742,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,7,FL,7,US,20250917,20250917,20220725,4,1,V,
43ES,11098,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,OH,C,US,20260209,20260209,20251207,4,1,V,
43GR,1531,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,7,AZ,4,US,20260722,20260722,20050707,4,1,V,
43JM,2544,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2020,7,SC,7,US,20250817,20250817,20200226,4,1,V,
43KM,11375,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,7,OR,S,US,20260801,20260801,20260430,4,1,V,
43KN,11438,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,8,MN,C,US,20260319,,,4,1,M,
43LD,5093,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2021,7,NH,E,US,20260215,20260215,20210927,4,1,V,
43LP,8630,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,OK,2,US,20230915,20221130,20220511,4,1,V,
43PS,2411,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2018,7,DE,1,US,20240925,20210721,20180222,4,1,V,
43TM,3838,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2012,7,OH,C,US,20250114,20250114,20120308,4,1,V,
43VU,2441,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2018,7,NY,1,US,20260721,20260721,20180508,4,1,V,
43W,10551,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,DE,1,US,20250414,20250414,20250326,4,1,V,
440CD,1515,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,VA,1,US,20250602,20250602,20050708,4,1,V,
440MA,0326,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2021,7,TX,2,US,20231023,20231023,20211216,4,5,V,
441CF,1924,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,1,VA,1,US,20230818,20190723,20190521,4,1,V,
441FP,11207,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,1,AL,7,US,20260417,20260417,20260216,4,1,V,
441GW,1060,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,IA,3,US,20230902,20220902,20040826,4,1,V,
441SR,1704,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2006,7,KY,3,US,20230610,20150930,20060719,4,1,V,
441WP,11413,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,8,MN,C,US,20260109,,20260529,4,1,M,
442CV,0442,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2023,7,DE,1,US,20251030,20230523,20230322,4,5,V,
442EG,1716,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,3,CA,4,US,20230519,20180621,20180503,4,1,V,
442GM,2257,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,7,IL,C,US,20230505,20210407,20140514,4,1,V,
442JS,9948,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2024,7,FL,7,US,20260228,20260228,20240602,4,1,V,
442TT,1012,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,,8,DE,20230811,20220630,20040712,4,1,V,
442WD,11694,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,8,MN,C,US,20260811,,,4,1,M,
4435P,9629,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,ID,S,US,20240124,20240124,20231221,4,1,V,
443AK,10344,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,NV,4,US,20241228,20241228,20241124,4,1,V,
443CP,3296,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,3,UT,S,US,20230217,20120723,20081006,4,1,V,
443FC,9227,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2023,7,MT,S,US,20250823,20250823,20230508,4,1,V,
443PG,11657,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,8,MN,C,US,20260604,,,4,1,M,
443VJ,0443,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2023,7,NC,1,US,20260511,20260511,20230327,4,5,V,
4441V,1758,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,7,PA,1,US,20241028,20240716,20180723,4,1,V,
444AH,2137,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,TX,2,US,20251104,20251104,20060913,4,1,V,
444AN,1154,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2015,7,WA,S,US,20230718,20220211,20150929,4,1,V,
444CV,4527,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2017,7,NC,1,US,20250927,20231111,20170906,4,1,V,
444GF,10721,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,TX,2,US,20250730,20250730,20250620,4,1,V,
444HB,0687,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2025,7,WY,S,US,20251024,20251024,20250911,4,5,V,
444JH,4376,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2016,7,LA,2,US,20240118,20211119,20160728,4,1,V,
444KK,9584,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,OK,2,US,20260331,20260331,20231203,4,1,V,
444MF,0174,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,3,VI,7,VI,20230811,20220602,20020319,4,1,V,
444NP,11204,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2026,7,NC,1,US,20260426,20260426,20250208,4,1,V,
444PT,11601,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,8,MN,C,US,20260630,,,4,1,M,
444RS,9017,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,AZ,4,US,20230331,20230331,20221228,4,1,V,
444UJ,1348,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,MO,3,US,20250320,20250320,20050314,4,1,V,
444VR,0788,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,CA,4,US,20251028,20251028,20100204,4,1,V,
445CD,2504,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,DE,1,US,20250215,20250215,20070529,4,1,V,
445ML,8876,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,3,DE,1,US,20250624,20250523,20241218,4,1,V,
446BD,2366,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,3,OK,2,US,20230922,20191211,20070212,4,1,V,
446CD,1446,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2004,3,IN,C,US,20230922,20161207,20040812,4,1,V,
446CP,3297,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,FL,7,US,20260206,20260206,20081007,4,1,V,
446DM,2036,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,7,ME,E,US,20250104,20250104,20191210,4,1,V,
446FM,1643,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,WA,S,US,20230616,20211021,20171213,4,1,V,
446HB,2379,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,MN,C,US,20250221,20250221,20210818,4,1,V,
446HD,1626,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,FL,7,US,20260713,20260713,20171129,4,1,V,
446HK,0898,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2014,7,VA,1,US,20230701,20211228,20141030,4,1,V,
446MT,10708,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,WY,S,US,20250711,20250711,20250530,4,1,V,
446VB,2208,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,7,MT,S,US,20251015,20251015,20201208,4,1,V,
4477H,2238,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,7,FL,7,US,20250617,20250617,20201223,4,1,V,
447AV,8882,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,7,AZ,4,US,20230223,20230223,20221013,4,1,V,
447CD,11426,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,8,MN,C,US,20260331,,20260604,4,1,M,
447JS,11518,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,8,MN,C,US,20260513,,,4,1,M,
448AM,4205,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2015,7,ND,C,US,20240901,20240901,20150511,4,1,V,
448AV,8902,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,7,AZ,4,US,20230303,20230303,20221027,4,1,V,
448CD,1243,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,1,TX,2,US,20230122,20200504,20020916,4,1,V,
448LM,2893,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,1,FL,7,US,20230407,20201210,20071227,4,1,V,
448SR,1048,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,KY,3,US,20230701,20211206,20040824,4,1,V,
448TT,3073,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,1,CA,4,US,20230512,20150522,20080617,4,1,V,
448VA,11148,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,7,NJ,1,US,20260130,20260130,20260115,4,1,V,
448WB,10799,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,TN,3,US,20250822,20250822,20250718,4,1,V,
449M,10931,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,ME,E,US,20251024,20251024,20250927,4,1,V,
449SR,1980,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,SC,7,US,20230804,20190513,20060530,4,1,V,
449WM,3869,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2012,1,NE,3,US,20260504,,20120817,4,1,7,
44CB,11022,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,3,NC,1,US,20251209,20251209,20251102,4,1,V,
44CR,0784,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,,8,MN,C,US,20260219,,,4,5,M,
44CT,9581,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,3,TX,2,US,20240121,20240121,20231129,4,1,V,
44CV,0648,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2025,7,MD,1,US,20250613,20250613,20250506,4,5,V,
44DE,0117,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2019,7,NY,1,US,20251212,20251212,20190521,4,5,V,
44ED,10722,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,FL,7,US,20250710,20250710,20250607,4,1,V,
44EM,1773,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,7,NJ,1,US,20240923,20240330,20180820,4,1,V,
44EN,1467,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2004,7,MA,E,US,20230930,20200115,20040928,4,1,V,
44HS,9996,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,WA,S,US,20260211,20260211,20240611,4,1,V,
44JH,3192,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,LA,2,US,20230317,20220912,20080808,4,1,V,
44KC,0516,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,8,DE,1,US,20230701,20211217,20030417,4,1,V,
44LS,0133,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2019,7,UT,S,US,20230902,20190911,20190726,4,5,V,
44MV,10450,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,GA,7,US,20250311,20250311,20250119,4,1,V,
44QG,8676,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,WI,C,US,20230930,20230106,20220613,4,1,V,
44RY,0345,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,,7,PA,1,US,20230427,20230327,,4,5,V,
44T,10656,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,3,DE,1,US,20250514,20250514,20250512,4,1,V,
44TT,1520,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,PA,1,US,20250731,20250501,20170406,4,1,V,
44VU,2442,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2018,7,AR,2,US,20260212,20260212,20180508,4,1,V,
44WF,0533,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,AR,2,US,20230304,20170725,20030430,4,1,V,
44WW,1946,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,1,AZ,4,US,20230603,20210812,20060509,4,1,V,
44WX,1258,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,3,WI,C,US,20230930,20170124,20050106,4,1,V,
44YP,1169,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,1,AR,2,US,20250702,20250702,,4,1,V,
450AV,8951,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,7,AZ,4,US,20230427,20230322,20221201,4,1,V,
450CD,1478,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,3,KS,3,US,20240517,20240517,20050614,4,1,V,
450SU,3901,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2012,7,OK,2,US,20230519,20180625,20121128,4,1,V,
450TX,1063,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,DE,1,US,20251024,20171107,20040827,4,1,V,
451CA,9102,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,DE,1,US,20251031,20251031,20230301,4,1,V,
451JS,11141,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,1,NC,1,US,20260316,20260316,20260109,4,1,V,
451MV,4365,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2016,7,CA,4,US,20231020,20200403,20160621,4,1,V,
451RK,1153,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2015,1,CA,4,US,20230915,20221119,20150928,4,1,V,
451SG,1789,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,7,PA,1,US,20250812,20211221,20180906,4,1,V,
451SR,2325,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,MS,2,US,20250809,20250809,20070115,4,1,V,
451TJ,0866,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,IL,C,US,20230603,20210819,20040412,4,1,V,
451VL,11370,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,8,MN,C,US,20260218,,20260429,4,1,M,
452CD,3652,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2010,7,DE,1,US,20230722,20220329,20100623,4,1,V,
452MD,4426,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2016,4,TX,2,US,20230930,20170117,20161206,4,1,V,
452TT,8751,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,1,NV,4,US,20230517,20230517,20220804,4,1,V,
452TX,4233,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2015,7,WV,1,US,20230902,20220914,20150806,4,1,V,
452VA,4776,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2019,7,VA,1,US,20230825,20190819,20190409,4,1,V,
453AV,8952,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,7,AZ,4,US,20230503,20230322,20221204,4,1,V,
453CD,1453,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2004,7,SC,7,US,20240131,20240131,20040818,4,1,V,
454CP,3303,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,TX,2,US,20260301,20260301,20081013,4,1,V,
454CR,0114,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2019,7,AL,7,US,20231103,20231103,20190426,4,5,V,
454MK,1447,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2004,1,CA,4,US,20230818,20051221,20040817,4,1,V,
454RC,1624,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,7,GA,7,US,20230407,20171208,20171106,4,1,V,
454RK,2084,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,1,NJ,1,US,20241209,20241209,20060817,4,1,V,
454SD,3114,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,GA,7,US,20240315,20240315,20080711,4,1,V,
454SR,2428,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,1,MI,C,US,20250228,20250228,20070402,4,1,V,
4555,3312,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,3,PA,1,US,20230707,20081212,20081016,4,1,V,
455AV,8954,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,7,AZ,4,US,20230503,20230322,20221205,4,1,V,
455BD,1029,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,NE,3,US,20230929,20110128,20040729,4,1,V,
455CD,0907,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,CA,4,US,20230421,20120224,20040427,4,1,V,
455KG,0890,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2014,1,TX,2,US,20230811,20190606,20141008,4,1,V,
455MV,4307,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2016,7,OK,2,US,20240121,20240121,20170524,4,1,V,
455PC,1961,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,3,CA,4,US,20230304,20060605,20060515,4,1,V,
455PG,1615,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2006,1,WY,S,US,20231219,20171204,20060213,4,1,V,
455RM,2243,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,TX,2,US,20230428,20210324,20210119,4,1,V,
455SP,2406,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,WI,C,US,20230505,20120426,20070314,4,1,V,
455SR,2229,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,DE,1,US,20260125,20230310,20061102,4,1,V,
455TC,2491,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,NE,3,US,20230922,20131219,20070510,4,1,V,
4567Z,10467,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,IN,C,US,20250303,20250303,20250205,4,1,V,
456AC,4249,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2015,4,SC,7,US,20260719,20260719,20150914,4,1,V,
456AK,1979,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2008,7,OR,S,US,20230324,20201028,20080508,4,1,V,
456DC,1525,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,NV,4,US,20250204,20180111,20050721,4,1,V,
456DR,1247,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,3,NM,2,US,20230911,20230911,20170925,4,1,V,
456FM,0135,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2019,7,OK,2,US,20251205,20251205,20190808,4,5,V,
456GG,0896,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,1,TX,2,US,20250219,20250219,20040419,4,1,V,
456HT,1371,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,4,NE,3,US,20250115,20250115,20160614,4,1,V,
456KG,8979,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,3,NV,4,US,20230707,20230707,20221215,4,1,V,
456KM,1977,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,AZ,4,US,20230414,20060821,20060530,4,1,V,
456LB,2256,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2014,7,DE,1,US,20241211,20241211,20140512,4,1,V,
456LE,1868,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,1,DE,1,US,20260811,,20160815,4,1,R,
456LL,3009,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,TX,2,US,20260123,20231116,20130711,4,1,V,
456MG,3330,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,1,NC,1,US,20230823,20230823,20081029,4,1,V,
456MJ,0368,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2022,4,DE,1,US,20230929,20230118,20220713,4,5,V,
456RT,0314,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,1,TX,2,US,20260429,,20020821,4,1,R,
456SS,1676,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2006,1,CA,4,US,20230603,20180809,20060614,4,1,V,
4570A,1717,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2006,1,CA,4,US,20230401,20111122,20060822,4,1,V,
457CA,3160,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,1,PA,1,US,20230401,20201105,,4,1,V,
457CB,3058,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,NC,1,US,20250923,20250923,20080611,4,1,V,
457FD,10457,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,8,MN,C,US,20250222,20250222,20250124,4,1,V,
458BB,4716,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2018,7,FL,7,US,20230218,20230218,20181101,4,1,V,
458BT,11031,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,PA,1,US,20251220,20251220,20251102,4,1,V,
458C,0388,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,3,OK,2,US,20230317,20170907,20021115,4,1,V,
458CP,3255,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,1,IA,3,US,20260529,,20080915,4,1,R,
458EM,9874,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,NV,4,US,20260226,20240604,20240325,4,1,V,
458MM,2560,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2020,7,CO,S,US,20260421,20200507,20200401,4,1,V,
458RH,1688,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,1,TX,2,US,20230728,20060104,20051122,4,1,V,
458TT,0801,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,4,GA,7,US,20250801,20250801,20040107,4,1,V,
458TW,0697,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,3,IL,C,US,20230310,20140822,20031002,4,1,V,
459BT,1225,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2002,7,PA,1,US,20230902,20220926,20020628,4,1,V,
459CD,1535,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,WA,S,US,20230505,20210417,20050727,4,1,V,
459CP,8759,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,3,CA,4,US,20230929,20230114,20220720,4,1,V,
459JA,10357,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,8,MN,C,US,20260507,20260507,20241207,4,1,V,
45BK,10410,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,FL,7,US,20250226,20250226,20250105,4,1,V,
45BV,1007,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,1,TX,2,US,20230122,20140612,20040708,4,1,V,
45C,2475,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2019,7,DE,1,US,20250319,20241010,20190312,4,1,V,
45CC,2437,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2018,7,FL,7,US,20230220,20230220,20180424,4,1,V,
45CX,5145,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2021,7,MI,C,US,20230308,20230308,20211230,4,1,V,
45DM,4634,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2018,1,FL,7,US,20230902,20220917,20180425,4,1,V,
45EA,11097,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,CA,4,US,20260724,20260206,20251212,4,1,V,
45EY,0535,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2024,7,FL,7,US,20240426,20240426,20240311,4,5,V,
45FD,1641,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,1,IN,C,US,20260722,,20171212,4,1,R,
45GL,1870,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,4,MI,C,US,20230610,20120913,20060325,4,1,V,Y
45JN,0489,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,IA,3,US,20231007,20140219,20030316,4,1,V,
45KS,11080,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,FL,7,US,20260126,20260126,20251123,4,1,V,
45ME,11115,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,7,VA,1,US,20260303,20260303,20260105,4,1,V,
45PW,4841,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2019,3,DE,1,US,20230626,20230428,20191025,4,1,V,
45PZ,10324,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,3,MA,E,US,20250701,20250123,20241117,4,1,V,
45TR,10444,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,DE,1,US,20260530,20260530,20250119,4,1,V,
45VU,2443,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2018,5,IN,C,US,20240214,20180716,20180516,4,1,V,
