n_number,serial_number,mfr_mdl_code,mfr,model,model_family,is_production_model,year_mfr,type_registrant,state,region,country,last_action_date,cert_issue_date,airworth_date,type_aircraft,type_engine,status_code,fract_owner
333RY,10809,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,CA,4,US,20250827,20250827,20250719,4,1,V,
333VS,9200,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,3,KY,3,US,20250325,20250325,20230417,4,1,V,
333WS,0906,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,4,VA,1,US,20230925,20220323,20040427,4,1,V,
333YY,2641,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2020,3,CA,4,US,20230421,20210204,20201023,4,1,V,
334DA,3396,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2009,7,TX,2,US,20230512,20210512,20090820,4,1,V,
334MR,8577,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,7,NY,1,US,20231017,20230814,20220321,4,1,V,
335A,2288,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,1,FL,7,US,20230502,20230403,20061220,4,1,V,
335BD,2391,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,CA,4,US,20260109,20220108,20210910,4,1,V,
335CP,3250,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,1,MA,E,US,20231007,20140221,20080909,4,1,V,
335PG,1504,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,3,WY,S,US,20260127,20260127,20050629,4,1,V,
335SH,8781,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,7,TN,3,US,20250707,20250707,20220826,4,1,V,
33633,0671,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2013,7,WY,S,US,20260520,20240116,20131218,4,1,V,
336B,2049,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,3,OH,C,US,20250303,20250303,20060723,4,1,V,
336HT,4801,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2019,7,,,,20250819,20250819,20190702,4,1,V,
